datetime,open,high,low,close,volume
2023-11-16 00:00:00,190.6,193.64,189.2,189.92,326306
2023-11-17 00:00:00,189.44,191.14,187.32,190.32,448544
2023-11-20 00:00:00,190.4,191.0,187.0,187.78,476438
2023-11-21 00:00:00,187.52,187.52,185.2,186.86,712492
2023-11-22 00:00:00,186.66,188.24,185.8,187.4,742145
2023-11-23 00:00:00,187.78,187.88,182.8,184.4,912638
2023-11-24 00:00:00,184.7,185.0,181.14,182.18,583762
2023-11-27 00:00:00,182.18,183.38,176.64,177.7,2006696
2023-11-28 00:00:00,178.02,181.5,177.54,178.5,858215
2023-11-29 00:00:00,179.0,179.44,174.5,175.78,827616
2023-11-30 00:00:00,175.78,176.66,171.18,172.94,735516
2023-12-01 00:00:00,172.7,175.36,171.04,171.26,596569
2023-12-04 00:00:00,171.0,174.4,169.52,171.82,872247
2023-12-05 00:00:00,172.1,173.5,170.62,172.4,456263
2023-12-06 00:00:00,172.78,173.6,167.72,168.78,808209
2023-12-07 00:00:00,168.7,169.66,165.24,166.9,712980
2023-12-08 00:00:00,167.0,168.82,166.22,166.78,371920
2023-12-11 00:00:00,167.0,169.78,165.8,166.6,682741
2023-12-12 00:00:00,166.7,167.94,162.72,162.94,777433
2023-12-13 00:00:00,162.12,167.14,160.32,167.0,689057
2023-12-14 00:00:00,167.68,168.46,162.2,162.5,671667
2023-12-15 00:00:00,162.2,168.1,162.1,166.58,502439
2023-12-18 00:00:00,167.96,170.6,167.0,168.54,795589
2023-12-19 00:00:00,168.6,175.28,168.3,174.96,1372169
2023-12-20 00:00:00,175.34,177.8,174.32,176.0,1395286
2023-12-21 00:00:00,175.42,177.28,173.2,175.72,766774
2023-12-22 00:00:00,176.22,179.4,175.28,178.0,721012
2023-12-25 00:00:00,178.22,179.0,176.12,177.2,460206
2023-12-26 00:00:00,177.5,180.0,177.18,179.74,852224
2023-12-27 00:00:00,180.24,181.5,179.2,179.2,544518
2023-12-28 00:00:00,179.12,180.36,178.4,179.4,291476
2023-12-29 00:00:00,179.7,180.86,176.62,178.5,324988
2024-01-03 00:00:00,178.4,181.28,177.9,180.94,167966
2024-01-04 00:00:00,181.4,184.42,181.0,183.04,331404
2024-01-05 00:00:00,183.12,184.26,181.72,182.62,158277
2024-01-08 00:00:00,183.0,185.42,182.2,185.4,302370
2024-01-09 00:00:00,185.48,185.7,182.66,183.12,395388
2024-01-10 00:00:00,183.12,186.52,182.82,185.0,445771
2024-01-11 00:00:00,185.1,197.94,183.64,196.1,3413339
2024-01-12 00:00:00,196.5,199.9,194.18,198.26,1491554
2024-01-15 00:00:00,199.0,201.56,196.6,198.02,1082946
2024-01-16 00:00:00,197.8,198.44,195.3,197.84,569923
2024-01-17 00:00:00,198.0,199.74,197.2,198.54,430660
2024-01-18 00:00:00,198.94,200.94,194.5,194.68,1073692
2024-01-19 00:00:00,194.52,196.84,192.0,196.44,945795
2024-01-22 00:00:00,196.94,199.7,196.14,198.38,609398
2024-01-23 00:00:00,198.78,198.98,196.04,198.22,375674
2024-01-24 00:00:00,198.88,199.5,196.6,197.6,466850
2024-01-25 00:00:00,197.6,197.92,194.5,195.0,389222
2024-01-26 00:00:00,195.2,195.78,193.8,193.98,374575
2024-01-29 00:00:00,194.0,197.72,194.0,197.06,480357
2024-01-30 00:00:00,197.3,201.24,195.02,201.08,1016978
2024-01-31 00:00:00,201.5,203.0,198.64,200.14,1196013
2024-02-01 00:00:00,200.16,205.04,200.02,204.58,1010965
2024-02-02 00:00:00,204.9,207.66,202.12,202.9,1228037
2024-02-05 00:00:00,202.9,203.74,199.72,200.72,588217
2024-02-06 00:00:00,200.8,201.06,198.16,199.7,674652
2024-02-07 00:00:00,200.14,200.28,195.54,197.1,708746
2024-02-08 00:00:00,197.1,199.24,194.54,196.12,666407
